# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	997
#@/user_id	47f654cc-0104-4fdb-9a56-97378a68a2be
a 	啊	c=7 d=3.18802 t=996
a wa 	阿瓦	c=1 d=1 t=956
ai 	唉	c=15 d=4.1385 t=808
ai 	愛	c=8 d=4.20943 t=592
ai ni 	愛你	c=4 d=1.56758 t=895
ai wo 	愛我	c=1 d=1 t=171
an zhuang 	安裝	c=1 d=1 t=971
ba 	吧	c=7 d=2.96992 t=890
ba 	把	c=4 d=1.75917 t=345
ban le 	搬了	c=0 d=0.1 t=155
ban le 	辦了	c=1 d=1 t=158
bang 	幫	c=1 d=1 t=858
bao jin 	抱緊	c=1 d=1 t=347
bao zai 	抱在	c=1 d=1 t=658
bei 	倍	c=1 d=1 t=167
bei 	被	c=1 d=1 t=713
bi ci 	彼此	c=2 d=1.71177 t=360
bi jing 	畢竟	c=1 d=1 t=349
bi xu 	必須	c=1 d=1 t=676
bian 	邊	c=1 d=0.357947 t=891
bian cheng 	變成	c=1 d=1 t=706
bian de 	變得	c=1 d=1 t=155
bian lu man 	邊璐曼	c=1 d=1 t=892
biao qing 	表情	c=1 d=1 t=961
bie ren 	別人	c=2 d=1.91393 t=272
bo 	波	c=0 d=0.1 t=412
bo bo 	波波	c=0 d=0.1 t=412
bo bo bo 	波波波	c=1 d=1 t=413
bo zi 	脖子	c=1 d=1 t=915
bu 	不	c=5 d=0.900093 t=808
bu guo 	不過	c=1 d=1 t=456
bu he ni 	不和你	c=1 d=1 t=809
bu hui 	不會	c=2 d=1.18268 t=499
bu hui de 	不會的	c=1 d=1 t=239
bu neng 	不能	c=1 d=1 t=667
bu shi 	不是	c=6 d=2.05789 t=824
bu shu 	部署	c=1 d=1 t=1
bu shuo 	不說	c=1 d=1.06907 t=403
bu shuo le 	不說了	c=2 d=1.8311 t=367
bu xiang 	不想	c=2 d=1.39259 t=252
bu xing 	不行	c=1 d=1 t=519
bu xu 	不許	c=2 d=1.80654 t=601
bu yao 	不要	c=1 d=1.04493 t=524
bu yao ku le 	不要苦了	c=1 d=1 t=365
bu yi yang 	不一樣	c=1 d=1 t=409
bu zhi dao 	不知道	c=6 d=2.24559 t=780
ca 	擦	c=0 d=0.1 t=13
cai 	才	c=1 d=1 t=902
cai hui 	纔會	c=1 d=1 t=198
cai neng 	才能	c=0 d=0.1 t=23
cai shi 	纔是	c=1 d=1 t=732
cha guo 	查過	c=1 d=1 t=445
cha xia 	插下	c=1 d=1 t=509
cha xia 	查下	c=1 d=1 t=510
chang jing 	場景	c=1 d=1 t=479
chao guo 	超過	c=1 d=1 t=165
cheng ren 	承認	c=1 d=1 t=112
chi fan 	吃飯	c=1 d=1.07261 t=880
chi fan le 	吃飯了	c=2 d=1.58275 t=925
chu lian 	初戀	c=2 d=1.96561 t=735
chu nan 	處男	c=1 d=1 t=771
chu qu 	出去	c=1 d=1 t=826
chu ye 	初夜	c=1 d=1 t=799
ci dian 	詞典	c=2 d=1.99501 t=32
ci ku 	詞庫	c=2 d=1.98511 t=36
ci pan 	磁盤	c=1 d=1 t=41
da 	大	c=1 d=1 t=354
da 	打	c=2 d=1.9802 t=98
da kou 	大口	c=0 d=0.1 t=867
da zao 	打造	c=1 d=1 t=17
dai 	帶	c=1 d=1 t=860
dai huai 	帶壞	c=1 d=1 t=715
dan shen 	單身	c=1 d=1 t=577
dan shi 	但是	c=11 d=2.54031 t=701
dang 	當	c=1 d=1 t=852
dao 	道	c=1 d=1 t=75
dao gou 	導購	c=1 d=1 t=832
dao ru 	導入	c=1 d=1 t=34
de 	得	c=28 d=5.49254 t=993
de 	的	c=7 d=2.38311 t=994
de guo 	德國	c=1 d=1 t=851
dei 	得	c=1 d=1.06408 t=723
dei gua le 	得掛了	c=1 d=1 t=635
deng 	等	c=2 d=1.97531 t=542
deng ni 	等你	c=1 d=1 t=500
dian 	點	c=3 d=2.09768 t=556
ding yi 	定義	c=2 d=1.06995 t=727
dong ri 	冬日	c=1 d=1 t=931
dong xi 	東西	c=2 d=1.01964 t=795
dou 	都	c=2 d=1.40252 t=293
dou hui 	都會	c=1 d=1 t=154
dou shi 	都是	c=1 d=1 t=472
du ling 	都靈	c=1 d=1 t=45
duan 	短	c=1 d=1 t=521
duan shi jian 	段時間	c=1 d=1 t=516
dui 	對	c=2 d=1.93707 t=304
dui bi 	對比	c=1 d=1 t=941
duo 	多	c=1 d=1 t=437
e 	額	c=1 d=1 t=220
en 	嗯	c=7 d=1.62744 t=912
en 	恩	c=4 d=2.10255 t=582
en en 	嗯嗯	c=1 d=0.303926 t=912
en en en 	嗯嗯嗯	c=1 d=1 t=913
fa sheng 	發生	c=1 d=1 t=465
fan zhuan 	反轉	c=1 d=1 t=921
fang an 	方案	c=1 d=1 t=5
fen 	份	c=1 d=1 t=997
feng cai 	風采	c=0 d=0.1 t=377
feng cai xi 	風采系	c=1 d=1 t=378
feng ci 	諷刺	c=1 d=1 t=379
fu chu 	付出	c=2 d=1.46533 t=494
fu za 	複雜	c=1 d=1 t=81
fu zui gan 	負罪感	c=2 d=1.93239 t=638
gan 	幹	c=1 d=1 t=374
gan huo 	幹活	c=0 d=0.1 t=372
gan huo le 	幹活了	c=1 d=1 t=373
gan jue 	感覺	c=5 d=2.59549 t=696
gan qing 	感情	c=1 d=1 t=79
gang cai 	剛纔	c=1 d=1 t=866
gao su 	告訴	c=1 d=1 t=66
gao zhong 	高中	c=1 d=1 t=691
ge shi 	格式	c=1 d=1 t=978
ge zi 	各自	c=1 d=1 t=361
gei 	給	c=1 d=1 t=801
gei ni 	給你	c=1 d=1 t=772
gei wo 	給我	c=1 d=1 t=10
gong ju 	工具	c=1 d=1 t=42
gong zi 	公子	c=1 d=1 t=862
gou pi 	狗屁	c=1 d=1 t=785
gu ji 	估計	c=1 d=1 t=753
gua le 	掛了	c=1 d=1.04649 t=634
guan xi 	關係	c=1 d=1 t=116
guo ji 	國際	c=1 d=1 t=840
guo lai 	過來	c=1 d=1 t=441
ha 	哈	c=0 d=0.1 t=942
ha ha ha 	哈哈哈	c=1 d=1 t=953
ha ha ha ha ha 	哈哈哈哈哈	c=0 d=0.1 t=942
ha shi 	哈市	c=0 d=0.1 t=23
